id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2020-451-bk24-ce25-Q1,2020-451,Q1,3,,bk24,Gregoire Barrere,FRA,25.889,ce25,Salvatore Caruso,ITA,27.059,3,,,2,1,16,11,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS012/match-stats?isLive=False,106,11,5,68,99,42,68,15,31,14,18,57,99,20,49,17,28,6,10,14,13,37,77,94,176,,,,,,,,,,3,4,49,77,29,49,11,28,4,10,40,77,26,68,16,31,4,18,13,14,42,99,82,176,,,,,,,,,
2020-451-dh50-ml57-Q1,2020-451,Q1,5,,dh50,Alejandro Davidovich Fokina,ESP,20.586,ml57,Gianluca Mager,ITA,25.096,5,,,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS011/match-stats?isLive=False,74,1,4,35,60,26,35,15,25,3,3,41,60,9,32,19,30,3,7,9,8,28,62,69,122,,,,,,,,,,4,2,32,62,23,32,11,30,4,7,34,62,9,35,10,25,0,3,8,9,19,60,53,122,,,,,,,,,
2020-451-f724-gc89-Q1,2020-451,Q1,1,,f724,Marton Fucsovics,HUN,27.911,gc89,Egor Gerasimov,BLR,27.153,1,,,2,1,13,13,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS008/match-stats?isLive=False,117,5,3,41,74,30,41,20,33,3,5,50,74,20,65,19,36,2,9,13,13,39,101,89,175,,,,,,,,,,3,5,65,101,45,65,17,36,7,9,62,101,11,41,13,33,2,5,13,13,24,74,86,175,,,,,,,,,
2020-451-mj08-n0ck-Q1,2020-451,Q1,6,,mj08,Thiago Monteiro,BRA,25.599,n0ck,Rashed Nawaf,QAT,14.596,6,WC,,2,0,12,2,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS013/match-stats?isLive=False,49,1,1,24,37,20,24,9,13,1,1,29,37,23,40,6,12,5,12,7,7,29,52,58,89,,,,,,,,,,1,1,40,52,17,40,6,12,7,12,23,52,4,24,4,13,0,1,7,7,8,37,31,89,,,,,,,,,
2020-451-mw02-mf35-Q1,2020-451,Q1,4,,mw02,Corentin Moutet,FRA,20.715,mf35,Andrej Martin,SVK,30.295,4,,,2,0,12,8,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS014/match-stats?isLive=False,86,0,2,38,58,27,38,12,20,2,3,39,58,16,43,13,26,3,6,10,10,29,69,68,127,,,,,,,,,,1,5,43,69,27,43,13,26,3,6,40,69,11,38,8,20,1,3,10,10,19,58,59,127,,,,,,,,,
2020-451-p09z-d923-Q1,2020-451,Q1,7,,p09z,Alexei Popyrin,AUS,20.419,d923,Damir Dzumhur,BIH,27.629,,7,,2,1,18,17,1,0,http://www.atpworldtour.com/en/scores/2020/451/QS015/match-stats?isLive=False,138,9,7,61,108,44,61,24,47,2,6,68,108,21,64,19,43,4,7,17,17,40,107,108,215,,,,,,,,,,2,4,64,107,43,64,24,43,3,7,67,107,17,61,23,47,4,6,17,17,40,108,107,215,,,,,,,,,
2020-451-v708-k336-Q1,2020-451,Q1,8,,v708,Jiri Vesely,CZE,26.489,k336,Ivo Karlovic,CRO,40.857,,8,,2,1,18,12,0,1,http://www.atpworldtour.com/en/scores/2020/451/QS009/match-stats?isLive=False,126,9,2,81,106,61,81,14,25,3,3,75,106,11,52,10,27,3,3,15,14,21,79,96,185,,,,,,,,,,15,3,52,79,41,52,17,27,0,3,58,79,20,81,11,25,0,3,14,15,31,106,89,185,,,,,,,,,
2020-451-y268-z367-Q1,2020-451,Q1,2,,y268,Mikael Ymer,SWE,21.325,z367,Mousa Shanan Zayed,QAT,25.825,2,WC,,2,0,12,2,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS010/match-stats?isLive=False,54,1,3,25,37,21,25,7,12,0,0,28,37,18,28,8,14,5,7,7,7,26,42,54,79,,,,,,,,,,0,3,28,42,10,28,6,14,2,7,16,42,4,25,5,12,0,0,7,7,9,37,25,79,,,,,,,,,
2020-451-bk24-mj08-Q2,2020-451,Q2,3,,bk24,Gregoire Barrere,FRA,25.889,mj08,Thiago Monteiro,BRA,25.599,3,6,,2,0,12,8,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS006/match-stats?isLive=False,84,5,1,48,61,33,48,8,13,2,3,41,61,17,51,13,22,3,10,10,10,30,73,71,134,,,,,,,,,,4,2,51,73,34,51,9,22,7,10,43,73,15,48,5,13,1,3,10,10,20,61,63,134,,,,,,,,,
2020-451-f724-v708-Q2,2020-451,Q2,1,,f724,Marton Fucsovics,HUN,27.911,v708,Jiri Vesely,CZE,26.489,1,,,2,1,16,11,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS004/match-stats?isLive=False,108,5,1,50,77,36,50,15,27,3,6,51,77,18,48,14,26,5,5,14,13,32,74,83,151,,,,,,,,,,3,4,48,74,30,48,12,26,0,5,42,74,14,50,12,27,3,6,13,14,26,77,68,151,,,,,,,,,
2020-451-mw02-p09z-Q2,2020-451,Q2,4,,mw02,Corentin Moutet,FRA,20.715,p09z,Alexei Popyrin,AUS,20.419,4,,,2,0,12,6,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS007/match-stats?isLive=False,72,0,2,35,58,22,35,14,23,2,4,36,58,15,30,12,20,5,6,9,9,27,50,63,108,,,,,,,,,,0,3,30,50,15,30,8,20,1,6,23,50,13,35,9,23,2,4,9,9,22,58,45,108,,,,,,,,,
2020-451-y268-dh50-Q2,2020-451,Q2,2,,y268,Mikael Ymer,SWE,21.325,dh50,Alejandro Davidovich Fokina,ESP,20.586,2,5,,2,1,16,15,0,0,http://www.atpworldtour.com/en/scores/2020/451/QS005/match-stats?isLive=False,130,0,8,69,109,44,69,17,40,8,13,61,109,24,58,10,25,5,8,16,15,34,83,95,192,,,,,,,,,,1,1,58,83,34,58,15,25,3,8,49,83,25,69,23,40,5,13,15,16,48,109,97,192,,,,,,,,,
